0,0,15,0,1,1,90,0
1,0,72,2,1,1,17.647,0
0,0,76,3,1,2,3.4990000000000023,0
0,0,63,2,1,2,2.6469999999999985,0
0,0,59,4,1,2,2.4679999999999964,0
1,0,74,2,1,0,3.2690000000000055,0
1,0,46,4,1,1,2.0019999999999953,0
0,0,50,4,1,2,2.127,0
0,0,18,0,1,0,12.387,0
1,0,51,2,1,1,3.378999999999998,0
1,0,29,3,1,0,3.1690000000000005,0
0,0,44,5,1,2,3.1290000000000013,0
1,0,17,2,1,0,1.7100000000000009,0
1,0,3,0,0,0,0.0,0
0,0,35,2,1,0,2.626999999999999,0
0,0,18,0,1,0,1.501999999999999,0
1,0,19,1,1,1,1.3760000000000048,0
0,0,49,2,1,2,2.502999999999993,0
1,0,52,2,1,0,2.8360000000000056,0
0,0,74,5,1,3,3.253,0
1,0,49,1,1,0,2.086999999999996,0
0,0,18,0,1,2,1.3329999999999984,0
1,0,23,0,1,0,10.427000000000007,0
1,0,30,2,1,0,2.6699999999999946,0
0,0,69,3,1,1,7.089999999999996,0
0,0,39,2,1,1,3.0860000000000003,0
1,0,44,1,1,0,9.760000000000002,0
1,0,38,3,1,0,3.8369999999999997,0
0,0,15,0,4,0,1.7099999999999973,0
0,0,22,0,1,0,6.215,0
1,0,5,1,0,0,9.551000000000002,0
1,0,43,4,1,1,4.921999999999997,0
1,0,55,3,1,0,3.879000000000005,0
0,0,15,0,4,0,2.918999999999997,0
1,0,16,1,1,0,1.4179999999999993,0
1,0,29,1,1,0,9.593000000000004,0
1,0,82,3,1,2,6.256,0
0,0,61,5,1,0,3.2119999999999997,0
1,0,22,2,1,0,1.2089999999999996,0
0,0,65,2,1,2,2.7270000000000003,0
1,0,22,1,1,1,1.4440000000000008,0
0,0,44,1,1,1,3.169999999999998,0
1,0,23,1,1,0,1.6270000000000024,0
0,0,30,2,1,0,13.096,0
0,0,68,6,1,0,3.878999999999998,0
0,0,11,0,4,0,1.2509999999999977,0
0,0,69,3,1,2,4.088000000000001,0
0,0,40,0,1,1,4.713000000000001,0
1,0,19,0,1,1,1.8350000000000009,0
1,0,16,1,1,0,3.7120000000000033,0
0,0,33,0,1,2,6.006,0
1,0,33,1,1,0,2.419,0
0,0,22,2,1,0,2.419,0
1,0,38,2,1,0,5.8389999999999995,0
1,0,37,1,1,1,9.134,0
0,0,27,1,1,2,2.3359999999999985,0
0,0,33,1,1,0,3.128,0
0,0,53,1,1,1,3.253,0
0,0,15,0,0,1,1.4600000000000009,0
0,0,11,0,0,1,1.876999999999999,0
1,0,41,2,1,0,2.503,0
1,0,24,1,1,0,1.4590000000000032,0
0,0,55,2,1,1,5.256,0
0,0,12,1,0,1,3.128,0
0,0,15,0,3,0,14.430999999999997,0
0,0,7,0,0,1,9.051000000000002,0
0,0,21,0,1,1,6.798,0
0,0,16,0,7,0,7.216000000000001,0
0,0,77,5,1,1,7.381999999999998,0
1,0,52,6,1,0,2.336000000000002,0
0,0,92,6,1,2,4.003999999999998,0
0,0,33,1,1,0,3.879000000000005,0
1,0,28,2,1,1,0.0,0
0,0,67,3,1,2,3.253,0
0,0,80,5,1,1,3.5449999999999946,0
0,0,56,4,1,1,3.128,0
0,0,29,1,1,1,2.294000000000004,0
0,0,69,2,1,3,2.6069999999999993,0
0,0,47,3,1,2,2.147999999999996,0
1,0,50,3,1,3,6.631,0
0,0,58,2,1,1,2.837,0
0,0,35,2,1,1,2.127,0
0,0,10,0,3,0,2.085000000000001,0
1,0,22,1,1,1,3.7959999999999994,0
0,0,17,0,1,1,0.0,0
0,0,42,0,1,1,3.544999999999998,0
1,0,21,0,1,0,0.0,0
0,0,12,0,0,1,2.1690000000000005,0
0,0,21,1,1,1,2.043000000000003,0
0,0,18,0,4,0,2.2109999999999985,0
0,0,25,1,1,0,17.433999999999997,0
0,0,31,1,1,1,2.5020000000000024,0
0,0,70,3,1,2,3.753999999999998,0
0,0,49,1,1,1,2.9200000000000017,0
0,0,24,1,1,2,1.7929999999999993,0
0,0,45,2,1,1,3.378999999999998,0
0,0,47,3,1,0,2.919000000000004,0
0,0,30,1,1,2,2.7109999999999985,0
0,0,78,3,1,1,3.7960000000000003,0
0,0,40,3,1,1,2.9189999999999987,0
0,0,9,0,0,0,2.0860000000000003,0
0,0,19,1,1,0,5.255000000000001,0
0,0,29,0,1,1,6.006,0
0,0,14,0,1,0,1.8350000000000009,0
0,0,21,0,1,1,2.878,0
0,0,11,0,4,0,1.501999999999999,0
1,0,44,2,1,0,3.471,0
1,0,15,0,1,1,6.080000000000002,0
0,0,9,0,0,0,7.089999999999996,0
0,0,31,1,1,0,7.1739999999999995,0
0,0,18,0,4,0,21.021,0
0,0,10,0,0,0,11.929,0
0,0,9,0,0,0,5.170999999999999,0
0,0,12,0,1,0,4.338000000000001,0
0,0,7,0,0,0,1.5429999999999993,0
0,0,14,0,1,1,2.961999999999996,0
0,0,18,0,4,0,30.03,0
0,0,37,2,1,0,12.846000000000002,0
0,0,52,0,1,0,3.003,0
